"gu","year","area","price"
"관악구",1974,65.09,450
"관악구",1978,56.86,276
"관악구",1982,91.24,599
"관악구",1982,91.24,560
"관악구",1984,60.27,425
"관악구",1984,60.27,420
"관악구",1985,38.92,217
"관악구",1988,61.74,485
"관악구",1991,71.9,328
"관악구",1991,84.44,438
"관악구",1992,116.72,680
"관악구",1992,84.79,398
"관악구",1992,68.8,500
"관악구",1992,58.59,479
"관악구",1992,58.59,457
"관악구",1993,59.85,474
"관악구",1993,84.15,394
"관악구",1993,50.57,435
"관악구",1993,59.94,320
"관악구",1993,84.15,413
"관악구",1993,84.15,410
"관악구",1993,34.86,350
"관악구",1993,59.85,470
"관악구",1993,119.49,610
"관악구",1993,50.57,425
"관악구",1993,84.95,760
"관악구",1993,59.85,448
"관악구",1993,59.85,480
"관악구",1994,84.3,360
"관악구",1995,59.4,345
"관악구",1995,59.99,275
"관악구",1995,59.86,310
"관악구",1996,59.94,460
"관악구",1996,58.9,419
"관악구",1997,59.4,348
"관악구",1997,84.89,505
"관악구",1998,24.96,158
"관악구",1998,41.1,253
"관악구",1998,59.97,397
"관악구",1998,40.56,245
"관악구",1998,59.97,454
"관악구",1998,81.95,445
"관악구",1999,114.98,850
"관악구",1999,82.75,712
"관악구",2000,84.96,600
"관악구",2000,84.73,770
"관악구",2000,59.76,503
"관악구",2000,59.76,560
"관악구",2000,114.69,715
"관악구",2000,84.96,635
"관악구",2000,114.78,725
"관악구",2000,114.69,720
"관악구",2000,59.76,507
"관악구",2000,49.95,350
"관악구",2000,84.87,670
"관악구",2000,59.76,535
"관악구",2000,59.93,495
"관악구",2000,58.55,375
"관악구",2000,84.87,755
"관악구",2000,58.55,370
"관악구",2000,83.21,450
"관악구",2000,59.76,547
"관악구",2000,58.55,340
"관악구",2000,84.87,670
"관악구",2000,84.87,720
"관악구",2002,67.75,280
"관악구",2002,132.36,790
"관악구",2002,133.11,692
"관악구",2002,84.93,750
"관악구",2003,59.83,535
"관악구",2003,59.85,507
"관악구",2003,84.96,660
"관악구",2003,84.27,445
"관악구",2003,60,570
"관악구",2003,73.36,510
"관악구",2003,84.96,575
"관악구",2003,60,577
"관악구",2003,114.75,690
"관악구",2003,74.7,505
"관악구",2003,57.36,493
"관악구",2003,84.96,645
"관악구",2003,59.6,428
"관악구",2003,84.96,670
"관악구",2003,102,714
"관악구",2003,84.96,567
"관악구",2003,84.96,615
"관악구",2003,60,530
"관악구",2004,59.58,570
"관악구",2004,59.58,600
"관악구",2004,59.58,565
"관악구",2004,59.58,618
"관악구",2004,84.59,580
"관악구",2004,59.58,535
"관악구",2004,59.58,545
"관악구",2004,84.2,770
"관악구",2004,59.58,595
"관악구",2004,59.58,550
"관악구",2004,84.58,485
"관악구",2004,81.39,447
"관악구",2004,76.78,370
"관악구",2004,84.23,505
"관악구",2004,84.75,722
"관악구",2005,59.99,482
"관악구",2005,59.99,464
"관악구",2005,84.98,560
"관악구",2005,59.99,499
"관악구",2005,59.99,500
"관악구",2005,59.99,520
"관악구",2005,84.79,748
"관악구",2005,101.95,680
"관악구",2005,59.99,519
"관악구",2005,84.99,598
"관악구",2005,84.79,710
"관악구",2005,84.99,620
"관악구",2005,84.99,600
"관악구",2005,138.74,860
"관악구",2005,59.99,460
"관악구",2005,59.99,517
"관악구",2006,59.74,360
"관악구",2006,84.12,660
"관악구",2006,84.89,813
"관악구",2007,59.99,467
"관악구",2007,84.81,560
"관악구",2007,59.99,500
"관악구",2007,84.81,570
"관악구",2008,59.99,479
"관악구",2008,84.97,550
"관악구",2008,84.97,560
"관악구",2008,59.99,478
"관악구",2008,84.98,562
"관악구",2010,107.08,700
